,e,feat
5353,190,"1.5839290002696833, 8.715458110924372, 4.0, 1.0021398465362585, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2324,191,"1.8197563763887326, 8.770821227438807, 4.2, 1.018675024316438, 0, 0, 0, 0, 0, 0, 0, 0, 0"
65,192,"1.7778340244063298, 8.7484140383994, 4.3, 1.216513563168702, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5356,193,"1.5087173796076332, 8.722007719145939, 3.4, 1.0027234410461472, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2328,194,"1.7414380354912948, 8.740170192133041, 3.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5358,195,"1.764877825056188, 8.751623175480473, 4.3, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12517,196,"1.2756601305535433, 8.693880696781598, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2329,197,"1.264851717458015, 8.690235624887515, 4.0, 1.6112179833567493, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2330,198,"1.8055105085225511, 8.760735362697368, 3.9, 1.019453150329623, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5360,199,"1.746182575625503, 8.743729310230616, 4.1, 1.0027234410461472, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8762,200,"1.570592042653268, 8.72372780505033, 4.5, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2331,201,"1.4454983321048909, 8.704951729063316, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5361,202,"1.159975414586583, 8.699022968224888, 3.8, 1.092013401059116, 0, 0, 0, 0, 0, 0, 0, 0, 0"
67,203,"1.780446604553764, 8.765976649023964, 4.3, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8764,204,"1.7985078489231014, 8.761761403022872, 3.1, 1.002528909542851, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8765,205,"1.5637961849221735, 8.72153033174767, 4.9, 1.0427969307251703, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2333,206,"1.579881611210208, 8.717205266632524, 4.5, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2334,207,"1.8153091951261215, 8.780638675936334, 4.3, 1.2443315681400626, 0, 0, 0, 0, 0, 0, 0, 0, 0"
68,208,"1.6100793496904373, 8.725683108970856, 4.2, 1.0019453150329622, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2335,209,"1.2630951342762513, 8.692404089485226, 4.1, 1.0918188695558197, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5366,210,"1.7813501863615944, 8.765072603613238, 4.7, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12527,211,"1.8126028768160811, 8.779615802690588, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
